t,x,y,z,vx_dir,vy_dir,vz_dir,speed,flux,sector,range,lat_err
0.0,-144.57483341892322,24.095805569820534,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,0,150.69004713041932,146.5690632574555
0.1,-139.14966683784644,23.19161113964107,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,0,145.34607187102094,141.06906325745553
0.2,-133.72450025676966,22.287416709461603,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,0,140.01418111214298,135.56906325745553
0.30000000000000004,-128.29933367569288,21.383222279282137,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,0,134.6958099447491,130.06906325745553
0.4,-122.87416709461608,20.47902784910267,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,0,129.39262544998442,124.56906325745553
0.5,-117.44900051353929,19.574833418923205,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,0,124.10657446327308,119.06906325745553
0.6,-112.0238339324625,18.67063898874374,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,0,118.83994332368194,113.56906325745553
0.7,-106.5986673513857,17.766444558564274,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,0,113.59543315355562,108.06906325745551
0.7999999999999999,-101.1735007703089,16.862250128384808,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,0,108.37625541377552,102.56906325745551
0.8999999999999999,-95.74833418923211,15.958055698205342,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,0,103.18625413144864,97.06906325745551
0.9999999999999999,-90.32316760815532,15.053861268025877,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,1,98.03006347977077,91.56906325745551
1.0999999999999999,-84.89800102707852,14.14966683784641,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,1,92.91331255539153,86.0690632574555
1.2,-79.47283444600173,13.245472407666945,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,1,87.84289358954351,80.5690632574555
1.3,-74.04766786492493,12.34127797748748,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,1,82.82731589488974,75.0690632574555
1.4000000000000001,-68.62250128384814,11.437083547308013,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,1,77.87717613344645,69.56906325745548
1.5000000000000002,-63.19733470277134,10.532889117128548,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,1,73.00578652879395,64.06906325745548
1.6000000000000003,-57.77216812169455,9.628694686949082,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,1,68.2300166411809,58.569063257455475
1.7000000000000004,-52.347001540617754,8.724500256769616,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,1,63.57142026904708,53.06906325745547
1.8000000000000005,-46.92183495954096,7.820305826590151,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,1,59.057732594401216,47.56906325745547
1.9000000000000006,-41.496668378464165,6.916111396410686,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,1,54.72482145571413,42.06906325745547
2.0000000000000004,-36.07150179738737,6.0119169662312215,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,2,50.61913064768872,36.56906325745546
2.1000000000000005,-30.64633521631058,5.107722536051757,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,2,46.800498840244956,31.06906325745546
2.2000000000000006,-25.221168635233788,4.203528105872292,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,2,43.34486123941059,25.56906325745546
2.3000000000000007,-19.796002054156997,3.299333675692827,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,2,40.345598273315375,20.069063257455458
2.400000000000001,-14.370835473080206,2.395139245513362,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,2,37.911180464339786,14.56906325745546
2.500000000000001,-8.945668892003415,1.4909448153338971,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,2,36.15588345439409,9.06906325745546
2.600000000000001,-3.5205023109266236,0.5867503851544322,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,2,35.18150384130443,3.5690632574554586
2.700000000000001,1.9046642701501675,-0.31744404502503265,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,2,35.05322405576566,1.9309367425445416
2.800000000000001,7.3298308512269585,-1.2216384752044975,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,2,35.7801456239588,7.430936742544541
2.9000000000000012,12.75499743230375,-2.1258329053839624,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,2,37.312318676808175,12.930936742544542
3.0000000000000013,18.18016401338054,-3.0300273355634273,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,3,39.556281791994536,18.430936742544542
3.1000000000000014,23.60533059445733,-3.934221765742892,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,3,42.39917137605013,23.930936742544542
3.2000000000000015,29.030497175534123,-4.838416195922357,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,3,45.72942201191327,29.430936742544542
3.3000000000000016,34.45566375661092,-5.742610626101822,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,3,49.448663699959056,34.93093674254455
3.4000000000000017,39.88083033768771,-6.646805056281287,35.0,0.9863939238321437,-0.16439898730535726,0.0,55.0,0.0,3,53.47579495322757,40.43093674254455
